Experiment: 1,    Subject: 1 
AngleDiff   Noise  RefAngle   SubjDecision  SubjEstimate  Feedback   TrialOrder 
   -15       18     120.00         -1        134.70159         -1       1047 
   -15       18     123.33         -1        138.31336         -1       1315 
   -15       18     126.67         -1        138.02864         -1        867 
   -15       18     130.00         -1        135.91420         -1        344 
   -15       18     133.33         -1        142.99982         -1       1308 
   -15       18     136.67         -1        144.21084         -1        342 
   -15       18     140.00         -1        157.59589         -1        730 
   -15       18     143.33         -1        148.01685         -1       1240 
   -15       18     146.67         -1        165.27796         -1        671 
   -15       18     150.00         -1        168.68940         -1         72 
   -15       18     153.33         -1        165.27796         -1        476 
   -15       18     156.67         -1        163.60989         -1        502 
   -15       18     160.00         -1        169.55612         -1        817 
   -15       18     163.33         -1        170.42770         -1       1112 
   -15       18     166.67         -1        170.86520         -1       1558 
   -15       18     170.00         -1        178.42672         -1       1564 
   -15       18     173.33         -1          3.36554         -1        407 
   -15       18     176.67         -1          5.59839         -1        406 
   -15       18     180.00         -1          5.59839         -1         44 
   -12        3       0.00         -1         10.00698         -1       1441 
   -12        3       3.33         -1         13.87650         -1        927 
   -12        3       6.67         -1         15.13995         -1       1455 
   -12        3      10.00         -1         22.80118         -1        890 
   -12        3      13.33         -1         22.80118         -1        411 
   -12        3      16.67         -1         25.11981         -1        412 
   -12        3      20.00         -1         33.63439         -1       1057 
   -12        3      23.33         -1         38.82307         -1       1522 
   -12        3      26.67         -1         32.37754         -1        473 
   -12        3      30.00         -1         42.65186         -1        630 
   -12        3      33.33         -1         41.75589         -1        510 
   -12        3      36.67         -1         50.22177         -1       1596 
   -12        3      40.00         -1         49.64440         -1       1209 
   -12        3      43.33         -1         56.95089         -1        299 
   -12        3      46.67         -1         56.72074         -1       1165 
   -12        3      50.00         -1         67.68986         -1       1195 
   -12        3      53.33         -1         66.91277         -1        631 
   -12        3      56.67         -1         65.59181         -1        851 
   -12        3      60.00         -1         78.25964         -1       1229 
   -12        3      63.33         -1         76.54779         -1       1412 
   -12        3      66.67         -1         79.12381         -1        451 
   -12        3      70.00         -1         82.62720         -1       1432 
   -12        3      73.33         -1         88.87759         -1        366 
   -12        3      76.67         -1         93.81489         -1       1353 
   -12        3      80.00         -1         92.91926         -1        662 
   -12        3      83.33         -1        102.17211         -1       1650 
   -12        3      86.67         -1        104.72204         -1        943 
   -12        3      90.00         -1        103.87815         -1        305 
   -12        3      93.33         -1        111.52585         -1       1129 
   -12        3      96.67         -1        108.16330         -1        707 
   -12        3     100.00         -1        110.33106         -1        279 
   -12        3     103.33         -1        111.52585         -1       1336 
   -12        3     106.67         -1        119.50833         -1        861 
   -12        3     110.00         -1        123.51364         -1       1605 
   -12        3     113.33         -1        131.36712         -1       1251 
   -12        3     116.67         -1        136.22537         -1        533 
   -12        3     120.00         -1        135.00000         -1       1108 
   -12        3     123.33         -1        139.83880         -1       1428 
   -12        3     126.67         -1        142.99982         -1        758 
   -12        3     130.00         -1        147.07359         -1        389 
   -12        3     133.33         -1        147.07359         -1        353 
   -12        3     136.67         -1        154.12721         -1        233 
   -12        3     140.00         -1        154.12721         -1        311 
   -12        3     143.33         -1        157.59589         -1       1512 
   -12        3     146.67         -1        162.11409         -1       1289 
   -12        3     150.00         -1        160.03516         -1       1003 
   -12        3     153.33         -1        163.60989         -1        973 
   -12        3     156.67         -1        161.70493         -1        570 
   -12        3     160.00         -1        168.25797         -1       1490 
   -12        3     163.33         -1        175.73797         -1       1224 
   -12        3     166.67         -1        179.77444         -1       1307 
   -12        3     170.00         -1        177.97779         -1       1174 
   -12        3     173.33         -1          3.36554         -1        603 
   -12        3     176.67         -1          2.46914         -1        996 
   -12        3     180.00         -1          7.81432         -1        251 
   -12       18       0.00         -1         11.74036         -1        942 
   -12       18       3.33         -1         16.38850         -1        104 
   -12       18       6.67         -1         13.02641         -1       1408 
   -12       18      10.00          1         16.38850         -1        175 
   -12       18      13.33         -1         25.89440         -1        335 
   -12       18      16.67         -1         23.19749         -1        894 
   -12       18      20.00         -1         31.46000         -1        403 
   -12       18      23.33         -1         30.89429         -1        374 
   -12       18      26.67         -1         35.11050         -1       1085 
   -12       18      30.00         -1         41.16747         -1        624 
   -12       18      33.33         -1         44.70581         -1        324 
   -12       18      36.67         -1         40.85225         -1        117 
   -12       18      40.00         -1         47.68493         -1       1212 
   -12       18      43.33          1         45.89633         -1        641 
   -12       18      46.67         -1         52.01763         -1        642 
   -12       18      50.00         -1         60.90581         -1       1321 
   -12       18      53.33         -1         62.58659         -1       1394 
   -12       18      56.67          1         60.70079         -1       1200 
   -12       18      60.00         -1         70.62028         -1       1241 
   -12       18      63.33         -1         71.97149         -1        810 
   -12       18      66.67         -1         77.82956         -1        283 
   -12       18      70.00         -1         82.18568         -1       1480 
   -12       18      73.33         -1         90.22556         -1        929 
   -12       18      76.67         -1         92.02221         -1        602 
   -12       18      80.00         -1         97.37451         -1       1610 
   -12       18      83.33         -1         95.60012         -1       1482 
   -12       18      86.67         -1         90.67490         -1        985 
   -12       18      90.00         -1        102.17211         -1        538 
   -12       18      93.33         -1         98.69623         -1       1521 
   -12       18      96.67         -1        104.72204         -1        459 
   -12       18     100.00         -1        107.75343         -1       1456 
   -12       18     103.33         -1        120.81917         -1       1330 
   -12       18     106.67         -1        120.81917         -1         26 
   -12       18     110.00         -1        114.58402         -1        945 
   -12       18     113.33         -1        124.34337         -1       1552 
   -12       18     116.67         -1        125.98086         -1        577 
   -12       18     120.00         -1        125.04439         -1       1367 
   -12       18     123.33         -1        132.57628         -1        387 
   -12       18     126.67         -1        139.19211         -1       1410 
   -12       18     130.00          1        134.40008         -1       1540 
   -12       18     133.33         -1        148.37827         -1        236 
   -12       18     136.67         -1        144.71037         -1       1234 
   -12       18     140.00          1        146.13377         -1       1474 
   -12       18     143.33         -1        155.48342         -1        128 
   -12       18     146.67         -1        154.90334         -1       1049 
   -12       18     150.00         -1        154.31898         -1       1258 
   -12       18     153.33         -1        157.19727         -1        870 
   -12       18     156.67         -1        160.03516         -1        591 
   -12       18     160.00         -1        170.42770         -1       1583 
   -12       18     163.33         -1        178.87584         -1       1638 
   -12       18     166.67         -1        175.29135         -1       1006 
   -12       18     170.00         -1        174.84530         -1        433 
   -12       18     173.33          1          2.02046         -1        922 
   -12       18     176.67         -1          3.36554         -1       1597 
   -12       18     180.00         -1          4.70691         -1       1326 
    -9        3       0.00         -1          6.04314         -1       1083 
    -9        3       3.33         -1         11.30892         -1        838 
    -9        3       6.67         -1         14.29925         -1         96 
    -9        3      10.00         -1         13.87650         -1        854 
    -9        3      13.33         -1         19.54896         -1        161 
    -9        3      16.67         -1         22.00163         -1        668 
    -9        3      20.00         -1         26.65896         -1        559 
    -9        3      23.33         -1         36.66117         -1        804 
    -9        3      26.67         -1         39.46424         -1        589 
    -9        3      30.00         -1         38.82307         -1       1360 
    -9        3      33.33         -1         39.72724         -1        282 
    -9        3      36.67         -1         49.37748         -1        666 
    -9        3      40.00         -1         50.22177         -1         10 
    -9        3      43.33         -1         49.64440         -1        278 
    -9        3      46.67         -1         53.83650         -1       1446 
    -9        3      50.00         -1         61.84231         -1       1591 
    -9        3      53.33         -1         69.02428         -1       1291 
    -9        3      56.67         -1         73.19879         -1         67 
    -9        3      60.00         -1         71.97149         -1        812 
    -9        3      63.33         -1         72.78786         -1       1506 
    -9        3      66.67         -1         79.55781         -1       1210 
    -9        3      70.00         -1         89.77619         -1        208 
    -9        3      73.33         -1         87.97954         -1         81 
    -9        3      76.67         -1         87.97954         -1       1419 
    -9        3      80.00         -1         94.26203         -1        396 
    -9        3      83.33         -1         98.69623         -1        497 
    -9        3      86.67         -1         96.48888         -1       1477 
    -9        3      90.00         -1        104.30089         -1        844 
    -9        3      93.33         -1         99.13480         -1        738 
    -9        3      96.67         -1        113.25454         -1        221 
    -9        3     100.00         -1        111.12971         -1       1325 
    -9        3     103.33         -1        116.66044         -1       1100 
    -9        3     106.67         -1        120.60415         -1        706 
    -9        3     110.00         -1        124.69536         -1       1263 
    -9        3     113.33         -1        127.76323         -1        606 
    -9        3     116.67         -1        130.16120         -1        495 
    -9        3     120.00         -1        130.16120         -1        749 
    -9        3     123.33         -1        139.19211         -1        596 
    -9        3     126.67         -1        136.52343         -1       1430 
    -9        3     130.00         -1        143.95645         -1        646 
    -9        3     133.33         -1        139.51390         -1        367 
    -9        3     136.67         -1        148.01685         -1        105 
    -9        3     140.00         -1        154.12721         -1       1013 
    -9        3     143.33         -1        153.14275         -1        718 
    -9        3     146.67         -1        153.73040         -1       1342 
    -9        3     150.00         -1        154.12721         -1       1074 
    -9        3     153.33         -1        163.48736         -1       1244 
    -9        3     156.67         -1        162.26319         -1        563 
    -9        3     160.00         -1        163.60989         -1       1312 
    -9        3     163.33         -1        173.06789         -1       1602 
    -9        3     166.67         -1        176.18511         -1        159 
    -9        3     170.00         -1          0.22381         -1       1069 
    -9        3     173.33         -1        177.52911         -1        546 
    -9        3     176.67         -1          2.91752         -1        526 
    -9        3     180.00         -1          4.26029         -1        919 
    -9       18       0.00         -1          7.81432         -1        224 
    -9       18       3.33         -1          8.69452         -1        769 
    -9       18       6.67         -1         15.13995         -1        486 
    -9       18      10.00         -1         22.00163         -1        137 
    -9       18      13.33         -1         18.83738         -1       1018 
    -9       18      16.67         -1         25.70885         -1       1178 
    -9       18      20.00         -1         30.18296         -1        699 
    -9       18      23.33         -1         27.03195         -1        130 
    -9       18      26.67         -1         40.57985         -1       1405 
    -9       18      30.00         -1         34.20324         -1         93 
    -9       18      33.33         -1         48.52259         -1       1418 
    -9       18      36.67         -1         45.88710         -1        189 
    -9       18      40.00         -1         47.65729         -1        674 
    -9       18      43.33         -1         54.51210         -1        676 
    -9       18      46.67         -1         56.95089         -1         95 
    -9       18      50.00         -1         59.39726         -1        534 
    -9       18      53.33         -1         59.39726         -1        555 
    -9       18      56.67         -1         66.52755         -1       1368 
    -9       18      60.00          1         65.21135         -1         99 
    -9       18      63.33         -1         73.19879         -1        363 
    -9       18      66.67         -1         81.74509         -1        262 
    -9       18      70.00         -1         75.70075         -1       1084 
    -9       18      73.33         -1         86.18685         -1       1293 
    -9       18      76.67         -1         82.18568         -1        333 
    -9       18      80.00          1         85.73971         -1       1089 
    -9       18      83.33         -1         92.02221         -1       1043 
    -9       18      86.67         -1         95.60012         -1        807 
    -9       18      90.00         -1         98.25662         -1        885 
    -9       18      93.33         -1         99.57230         -1       1192 
    -9       18      96.67         -1        105.55946         -1       1348 
    -9       18     100.00         -1        106.39011         -1        566 
    -9       18     103.33         -1        106.80282         -1       1366 
    -9       18     106.67          1        118.76430         -1        910 
    -9       18     110.00         -1        116.66044         -1        629 
    -9       18     113.33         -1        125.98086         -1        112 
    -9       18     116.67         -1        121.18051         -1        663 
    -9       18     120.00         -1        126.32201         -1       1012 
    -9       18     123.33          1        126.32201         -1        954 
    -9       18     126.67         -1        130.16120         -1       1570 
    -9       18     130.00         -1        142.31334         -1        667 
    -9       18     133.33          1        140.16684         -1        425 
    -9       18     136.67          1        141.78156         -1        693 
    -9       18     140.00         -1        150.44213         -1        656 
    -9       18     143.33         -1        148.01685         -1       1365 
    -9       18     146.67         -1        155.66319         -1       1514 
    -9       18     150.00         -1        155.08778         -1       1159 
    -9       18     153.33         -1        163.36303         -1       1598 
    -9       18     156.67         -1        165.27796         -1        227 
    -9       18     160.00         -1        166.54614         -1       1242 
    -9       18     163.33          1        170.42770         -1       1120 
    -9       18     166.67         -1        173.51112         -1        809 
    -9       18     170.00         -1        173.51112         -1       1254 
    -9       18     173.33         -1          2.46914         -1       1072 
    -9       18     176.67         -1          4.26029         -1       1256 
    -9       18     180.00         -1          5.59839         -1        575 
    -6        3       0.00         -1          4.70691         -1        740 
    -6        3       3.33         -1          6.48715         -1        548 
    -6        3       6.67         -1         12.17044         -1        605 
    -6        3      10.00         -1         16.92646         -1       1560 
    -6        3      13.33         -1         16.38850         -1        852 
    -6        3      16.67         -1         28.52821         -1        970 
    -6        3      20.00         -1         24.58470         -1       1310 
    -6        3      23.33         -1         27.78903         -1       1426 
    -6        3      26.67         -1         31.81049         -1        373 
    -6        3      30.00         -1         36.16575         -1       1475 
    -6        3      33.33         -1         41.16747         -1       1634 
